Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
1,ALICIA,Brgy. Alicia,Medium,143,7,122,7,19.43,16.43,-15.44
1,AMIHAN,Brgy. Amihan,Medium,154,4,217,4,37.5,53.25,42.0
1,APOLONIO_SAMSON,Brgy. Apolonio Samson,Medium,367,34,167,34,9.79,3.91,-60.06
1,BAESA,Brgy. Baesa,Medium,446,56,361,56,6.96,5.45,-21.7
1,BAGBAG,Brgy. Bagbag,None,0,0,0,0,1.0,1.0,0.0
1,BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Medium,235,14,193,14,15.79,12.79,-19.0
1,BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Medium,238,30,331,30,6.93,10.03,44.73
1,BAGONG_SILANGAN,Brgy. Bagong Silangan,Low,337,54,326,54,5.24,5.04,-3.82
1,BAGUMBAYAN,Brgy. Bagumbayan,Low,226,12,330,12,17.83,26.5,48.63
1,BAGUMBUHAY,Brgy. Bagumbuhay,Low,91,4,215,4,21.75,52.75,142.53
1,BAHAY_TORO,Brgy. Bahay Toro,Low,160,30,366,30,4.33,11.2,158.66
1,BALINGASA,Brgy. Balingasa,Medium,261,20,135,20,12.05,5.75,-52.28
1,BALUMBATO,Brgy. Balumbato,Medium,132,7,107,7,17.86,14.29,-19.99
1,BATASAN_HILLS,Brgy. Batasan Hills,Medium,630,167,364,167,2.77,1.18,-57.4
1,BAYANIHAN,Brgy. Bayanihan,Medium,163,1,143,1,162.0,142.0,-12.35
1,BLUE_RIDGE_A,Brgy. Blue Ridge A,Low,109,1,82,1,108.0,81.0,-25.0
1,BLUE_RIDGE_B,Brgy. Blue Ridge B,Medium,86,2,86,2,42.0,42.0,0.0
1,BOTOCAN,Brgy. Botocan,Medium,105,8,192,8,12.13,23.0,89.61
1,BUNGAD,Brgy. Bungad,Medium,182,8,173,8,21.75,20.63,-5.15
1,CAMP_AGUINALDO,Brgy. Camp Aguinaldo,Medium,55,4,111,4,12.75,26.75,109.8
1,CAPRI,Brgy. Capri,None,0,0,0,0,1.0,1.0,0.0
1,CENTRAL,Brgy. Central,Medium,216,20,259,20,9.8,11.95,21.94
1,COMMONWEALTH,Brgy. Commonwealth,Medium,448,214,425,214,1.09,0.99,-9.17
1,CULIAT,Brgy. Culiat,Medium,541,68,523,68,6.96,6.69,-3.88
1,DAMAR,Brgy. Damar,Medium,119,1,169,1,118.0,168.0,42.37
1,DAMAYAN,Brgy. Damayan,Medium,146,7,102,7,19.86,13.57,-31.67
1,DAMAYANG_LAGI,Brgy. Damayang Lagi,Medium,67,20,244,20,2.35,11.2,376.6
1,DEL_MONTE,Brgy. Del Monte,Medium,173,11,187,11,14.73,16.0,8.62
1,DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,Medium,84,2,126,2,41.0,62.0,51.22
1,DONA_AURORA,Brgy. Dona Aurora,Medium,167,5,120,5,32.4,23.0,-29.01
1,DONA_IMELDA,Brgy. Dona Imelda,Medium,272,12,115,12,21.67,8.58,-60.41
1,DONA_JOSEFA,Brgy. Dona Josefa,Medium,148,2,99,2,73.0,48.5,-33.56
1,DON_MANUEL,Brgy. Don Manuel,Medium,126,2,109,2,62.0,53.5,-13.71
1,DUYAN_DUYAN,Brgy. Duyan-Duyan,Medium,184,2,165,2,91.0,81.5,-10.44
1,EAST_KAMIAS,Brgy. East Kamias,Medium,112,7,136,7,15.0,18.43,22.87
1,ESCOBA_1,Brgy. Escopa 1,None,0,0,0,0,1.0,1.0,0.0
1,ESCOBA_2,Brgy. Escopa 2,Medium,122,2,100,2,60.0,49.0,-18.33
1,ESCOBA_3,Brgy. Escopa 3,None,0,0,0,0,1.0,1.0,0.0
1,ESCOBA_4,Brgy. Escopa 4,Medium,73,2,87,2,35.5,42.5,19.72
1,E_RODRIGUEZ,Brgy. E. Rodriguez,Medium,280,18,130,18,14.56,6.22,-57.28
1,FAIRVIEW,Brgy. Fairview,Medium,568,62,472,62,8.16,6.61,-19.0
1,GREATER_LAGRO,Brgy. Greater Lagro,Medium,75,24,179,24,2.13,6.46,203.29
1,GULOD,Brgy. Gulod,Medium,437,63,539,63,5.94,7.56,27.27
1,HOLY_SPIRIT,Brgy. Holy Spirit,Medium,568,112,718,112,4.07,5.41,32.92
1,HORSESHOE,Brgy. Horseshoe,Medium,123,3,111,3,40.0,36.0,-10.0
1,IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Medium,155,9,125,9,16.22,12.89,-20.53
1,KALIGAYAHAN,Brgy. Kaligayahan,Medium,26,61,541,61,-0.57,7.87,-1480.7
1,KALUSUGAN,Brgy. Kalusugan,Medium,152,5,196,5,29.4,38.2,29.93
1,KAMUNING,Brgy. Kamuning,None,0,0,0,0,1.0,1.0,0.0
1,KATIPUNAN,Brgy. Katipunan,None,0,0,0,0,1.0,1.0,0.0
1,KAUNLARAN,Brgy. Kaunlaran,Low,280,7,160,7,39.0,21.86,-43.95
1,KRISTONG_HARI,Brgy. Kristong Hari,Low,207,4,84,4,50.75,20.0,-60.59
1,KRUS_NA_LIGAS,Brgy. Krus na Ligas,Medium,34,22,195,22,0.55,7.86,1329.09
1,LAGING_HANDA,Brgy. Laging Handa,Medium,107,5,81,5,20.4,15.2,-25.49
1,LIBIS,Brgy. Libis,Medium,108,5,115,5,20.6,22.0,6.8
1,LOURDES,Brgy. Lourdes,Medium,90,5,191,5,17.0,37.2,118.82
1,LOYOLA_HEIGHTS,Brgy. Loyola Heights,Medium,89,22,85,22,3.05,2.86,-6.23
1,MAHARLIKA,Brgy. Maharlika,Low,35,3,156,3,10.67,51.0,377.98
1,MALAYA,Brgy. Malaya,Medium,125,3,132,3,40.67,43.0,5.73
1,MANGGA,Brgy. Mangga,Medium,119,12,107,12,8.92,7.92,-11.21
1,MANRESA,Brgy. Manresa,Medium,79,18,288,18,3.39,15.0,342.48
1,MARIANA,Brgy. Mariana,Medium,89,12,143,12,6.42,10.92,70.09
1,MARIBLO,Brgy. Mariblo,Medium,160,4,186,4,39.0,45.5,16.67
1,MARILAG,Brgy. Marilag,Medium,103,13,227,13,6.92,16.46,137.86
1,MASAGANA,Brgy. Masagana,Medium,56,5,136,5,10.2,26.2,156.86
1,MASAMBONG,Brgy. Masambong,Low,236,5,153,5,46.2,29.6,-35.93
1,MATANDANG_BALARA,Brgy. Matandang Balara,Medium,429,70,281,70,5.13,3.01,-41.33
1,MILAGROSA,Brgy. Milagrosa,Medium,118,7,222,7,15.86,30.71,93.63
1,NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,Medium,319,54,498,54,4.91,8.22,67.41
1,NAYONG_KANLURAN,Brgy. Nayong Kanluran,Medium,182,3,34,3,59.67,10.33,-82.69
