FA (Execution Time (ms)),EFA (Execution Time (ms))
5352.94,5711.86
5308.74,5797.58
5420.71,5722.11
5345.76,5690.65
5179.51,5722.66
5349.64,5767.77
5441.28,5719.38
5289.45,5744.11
5466.33,5833.21
5432.18,5767.47
5430.81,5621.46
5383.24,5800.51
5421.99,5708.73
5452.26,5700.35
5465.85,5717.28
5468.62,5771.60
5364.21,5767.40
5463.04,5668.66
5413.75,5693.58
5397.14,5646.36
5378.44,5701.11
5461.42,5778.08
5391.53,5803.77
5397.85,5820.87
5391.43,5687.19
5404.28,5715.67
5443.55,5730.83
5324.26,5799.34
5480.23,5793.01
5356.28,5802.66
