FA (Fitness Score),EFA (Fitness Score)
2.297774,2.357145
2.260646,2.322351
2.274116,2.350272
2.247308,2.348467
2.293131,2.425890
2.290201,2.376048
2.280056,2.360606
2.272092,2.360585
2.304514,2.340152
2.286091,2.347410
2.319080,2.332848
2.296879,2.333368
2.316192,2.330401
2.255155,2.383565
2.311492,2.353731
2.280682,2.341148
2.275158,2.343562
2.303716,2.347203
2.260913,2.353467
2.297250,2.386512
2.324323,2.345052
2.318603,2.342732
2.306447,2.362209
2.317910,2.351998
2.289932,2.327639
2.348135,2.307124
2.268754,2.340303
2.333066,2.371077
2.339333,2.320674
2.261024,2.341921
