FA (Memory Usage (bytes)),EFA (Memory Usage (bytes))
168096656,85916024
168039264,86002096
167998080,85366752
168041552,86233528
168011808,84867376
168066720,85722712
168027824,85743840
168011808,85733568
168046128,85489040
167993504,84989080
168032400,85854736
168027824,85456472
168034736,85881608
168007232,85963880
168048416,85702752
168007232,86536960
168030112,85108496
168011808,86158120
168046128,85329608
168014096,84994240
168080448,84068024
168036976,86368960
167998080,85126800
168043840,86311224
168000368,85595896
168004944,85442792
168030112,85862672
167995792,85645648
168064432,85650712
168027824,85615320
