Run,Objective1_FA,Objective1_EFA,Objective2_FA,Objective2_EFA,Objective3_FA,Objective3_EFA,Objective4_FA,Objective4_EFA,Objective5_FA,Objective5_EFA
1,0.894366,0.894366,0.733273,0.733178,0.674684,0.631872,0.890845,0.890845,0.376758,0.386012
2,0.908451,0.908451,0.721490,0.709047,0.745094,0.636585,0.901408,0.904930,0.403072,0.396206
3,0.929577,0.929577,0.719794,0.723203,0.755326,0.582397,0.929577,0.929577,0.384679,0.391852
4,0.887324,0.887324,0.737477,0.742048,0.705547,0.678087,0.887324,0.887324,0.388266,0.389826
5,0.929577,0.929577,0.719201,0.718251,0.685022,0.684558,0.926056,0.929577,0.384487,0.385779
6,0.901408,0.901408,0.727430,0.735683,0.661926,0.663856,0.901408,0.897887,0.389253,0.393635
7,0.880282,0.880282,0.739395,0.753838,0.654770,0.669276,0.880282,0.876761,0.401637,0.400315
8,0.908451,0.908451,0.732358,0.736906,0.712393,0.611289,0.904930,0.908451,0.382856,0.401809
9,0.929577,0.929577,0.718885,0.714943,0.691672,0.663712,0.922535,0.929577,0.393077,0.393148
10,0.929577,0.929577,0.725174,0.723381,0.685201,0.639702,0.929577,0.929577,0.393251,0.384065
11,0.936620,0.936620,0.737285,0.750074,0.691038,0.639631,0.936620,0.936620,0.389933,0.388809
12,0.887324,0.887324,0.726350,0.715346,0.736984,0.635729,0.883803,0.887324,0.402757,0.399348
13,0.922535,0.922535,0.655392,0.649704,0.670558,0.652036,0.922535,0.919014,0.382878,0.391852
14,0.915493,0.915493,0.662240,0.669196,0.705254,0.658896,0.911972,0.915493,0.401955,0.400468
15,0.915493,0.915493,0.655792,0.648879,0.641350,0.602626,0.915493,0.915493,0.405467,0.393000
16,0.823944,0.823944,0.567558,0.561471,0.661763,0.621773,0.816901,0.816901,0.394963,0.406966
17,0.894366,0.894366,0.585885,0.588441,0.648512,0.675269,0.890845,0.887324,0.388833,0.400819
18,0.859155,0.859155,0.583948,0.591263,0.721749,0.630468,0.848592,0.855634,0.393278,0.392355
19,0.901408,0.901408,0.559960,0.558075,0.713886,0.637053,0.894366,0.901408,0.406551,0.396007
20,0.922535,0.922535,0.638595,0.633952,0.721219,0.644642,0.922535,0.922535,0.387427,0.390253
21,0.922535,0.922535,0.587605,0.577312,0.708777,0.668658,0.922535,0.915493,0.401104,0.388614
22,0.915493,0.915493,0.640799,0.653031,0.680265,0.673182,0.911972,0.915493,0.401074,0.411077
23,0.915493,0.915493,0.621630,0.633135,0.672701,0.626293,0.901408,0.908451,0.376913,0.414998
24,0.915493,0.915493,0.634646,0.650144,0.652587,0.674738,0.915493,0.915493,0.390581,0.405468
25,0.866197,0.866197,0.589075,0.593462,0.746245,0.664353,0.866197,0.866197,0.399955,0.404628
26,0.873239,0.873239,0.616604,0.601303,0.657388,0.576720,0.873239,0.873239,0.394822,0.395169
27,0.859155,0.859155,0.579399,0.593904,0.676979,0.616172,0.855634,0.859155,0.407682,0.404729
28,0.915493,0.915493,0.657195,0.644538,0.738107,0.659258,0.911972,0.915493,0.394935,0.396643
29,0.901408,0.901408,0.639921,0.646817,0.738887,0.636955,0.897887,0.897887,0.401615,0.397323
30,0.922535,0.922535,0.674479,0.665120,0.740164,0.669719,0.919014,0.922535,0.387620,0.401671
