Scenario,FA (Solution Quality),EFA (Solution Quality),Percentage Change (%)
1,25.4,25.85,1.77
2,25.75,25.98,0.89
3,27.61,27.02,-2.14
4,24.21,26.56,9.71
5,24.68,25.54,3.48
6,24.69,26.81,8.59
7,24.06,24.35,1.21
8,23.96,26.62,11.1
9,21.85,22.4,2.52
10,24.19,27.89,15.3
11,23.65,23.66,0.04
12,23.8,26.1,9.66
13,23.61,22.67,-3.98
14,22.08,25.12,13.77
15,25.63,25.2,-1.68
16,28.16,29.87,6.07
17,23.51,25.8,9.74
18,27.37,29.92,9.32
19,25.11,23.16,-7.77
20,24.45,23.78,-2.74
21,23.51,24.7,5.06
22,24.61,24.52,-0.37
23,25.6,24.92,-2.66
24,24.94,26.23,5.17
25,26.41,24.46,-7.38
26,24.88,24.54,-1.37
27,24.72,27.86,12.7
28,26.97,26.19,-2.89
29,25.53,28.01,9.71
30,23.88,25.71,7.66
