FA (Execution Time (ms)),EFA (Execution Time (ms))
2783.79,2725.38
2404.67,2877.88
2888.28,2608.06
2606.63,2634.37
2636.07,2628.53
2627.88,2702.87
2683.52,2634.04
2660.56,2716.59
2618.28,2742.08
2665.35,2660.41
2672.26,2729.02
2706.18,2670.22
2662.00,2817.93
2780.54,2690.79
2707.85,2719.78
2629.16,2712.15
2677.32,2712.12
2698.65,2678.10
2666.37,2661.76
2628.92,2792.17
2657.94,2682.18
2657.04,2728.36
2777.42,2755.76
2679.21,2700.41
2883.72,2667.03
2763.73,2756.52
3299.20,2727.48
3482.02,2717.16
3138.47,2817.25
3002.45,2703.10
