FA (Fitness Score),EFA (Fitness Score)
2.306972,2.357234
2.262790,2.336048
2.341419,2.402802
2.330397,2.348869
2.320856,2.376369
2.325618,2.355014
2.317378,2.403820
2.307957,2.356502
2.314913,2.376465
2.307638,2.345671
2.286615,2.353103
2.321860,2.389188
2.314363,2.323632
2.290059,2.351416
2.313804,2.387974
2.262265,2.348677
2.304185,2.394422
2.366348,2.363550
2.334381,2.343593
2.294125,2.361512
2.390736,2.362064
2.280782,2.393845
2.301366,2.333288
2.289873,2.359704
2.304987,2.364184
2.317235,2.388528
2.294005,2.349522
2.266206,2.350902
2.405274,2.332459
2.346233,2.380771
